nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Hf-178m     1.12E-13    2.31E-15    6.65E-07    1.75E-07    2.55E-06    1.50E-03
Hf-179m     4.21E-14    8.82E-16    2.67E-09    5.77E-10    1.15E-03    1.50E-03
Hf-180m     4.74E-14    9.89E-16    6.30E-11    1.10E-11    1.26E-01    1.50E-03
Hf-181      2.62E-14    5.46E-16    4.17E-09    5.85E-10    6.81E-04    1.50E-03
Hf-182      1.14E-14    2.33E-16    8.98E-07    1.19E-07    8.79E-12    1.50E-03
Hf-182m     4.43E-14    9.10E-16    1.68E-11    2.51E-12    6.76E-01    1.50E-03
Hf-183      3.63E-14    7.34E-16    3.16E-11    3.51E-12    6.50E-01    1.50E-03
Hf-184      1.14E-14    2.40E-16    1.97E-10    2.37E-11    1.68E-01    1.50E-03
Hg-193      8.69E-15    1.92E-16    5.01E-11    3.50E-12    1.98E-01    1.50E-03
Hg-193m     5.05E-14    9.99E-16    2.08E-10    3.57E-11    6.24E-02    1.50E-03
Hg-194      6.92E-19    2.05E-19    4.70E-08    2.75E-08    3.04E-07    1.50E-03
Hg-195      9.20E-15    1.94E-16    5.58E-11    7.20E-12    7.00E-02    1.50E-03
Hg-195m     9.63E-15    2.02E-16    4.14E-10    6.97E-11    1.67E-02    1.50E-03
Hg-197      2.66E-15    6.42E-17    1.92E-10    3.09E-11    1.08E-02    1.50E-03
Hg-197m     4.05E-15    8.70E-17    3.23E-10    3.17E-11    2.91E-02    1.50E-03
Hg-199m     8.36E-15    1.77E-16    1.82E-11    2.89E-13    9.76E-01    1.50E-03
Hg-203      1.13E-14    2.32E-16    1.73E-09    7.32E-10    6.20E-04    1.50E-03
Ho-155      1.79E-14    3.82E-16    1.21E-11    7.08E-13    8.66E-01    1.50E-03
Ho-157      2.24E-14    4.83E-16    1.41E-12    1.52E-13    3.30E+00    1.50E-03
Ho-159      1.60E-14    3.58E-16    1.76E-12    1.73E-13    1.26E+00    1.50E-03
Ho-161      1.73E-15    6.15E-17    4.20E-12    7.45E-14    2.77E-01    1.50E-03
Ho-162      7.35E-15    1.63E-16    6.36E-13    3.56E-14    2.77E+00    1.50E-03
Ho-162m     2.74E-14    5.51E-16    6.80E-12    6.92E-13    6.12E-01    1.50E-03
Ho-164      9.05E-16    3.03E-17    2.35E-12    7.88E-15    1.43E+00    1.50E-03
Ho-164m     1.32E-15    4.63E-17    5.14E-12    2.46E-14    1.11E+00    1.50E-03
Ho-166      1.42E-15    3.01E-17    8.48E-10    4.66E-13    2.59E-02    1.50E-03
Ho-166m     8.45E-14    1.70E-15    2.09E-07    2.14E-08    6.59E-08    1.50E-03
